協力者,調査地,母語,年齢,性別,J-CAT (合計),JLPT
VVN05,ベトナム語,ベトナム語,24.0,女性,182,N4
VVN06,ベトナム語,ベトナム語,21.0,女性,219,N3
VVN12,ベトナム語,ベトナム語,21.0,女性,219,N3
JJC12,国内教室環境,ベトナム語,27.0,男性,218,N3
VVN51,ベトナム語,ベトナム語,23.0,女性,218,N3
VVN33,ベトナム語,ベトナム語,23.0,女性,185,N4
VVN24,ベトナム語,ベトナム語,20.0,女性,217,N3
VVN49,ベトナム語,ベトナム語,22.0,女性,215,N3
VVN39,ベトナム語,ベトナム語,21.0,女性,186,N4
JJC13,国内教室環境,ベトナム語,24.0,男性,187,N4
VVN15,ベトナム語,ベトナム語,29.0,女性,187,N4
JJE03,国内教室環境,ベトナム語,26.0,男性,188,N4
VVN13,ベトナム語,ベトナム語,22.0,女性,214,N3
VVN04,ベトナム語,ベトナム語,22.0,女性,188,N4
VVN56,ベトナム語,ベトナム語,29.0,女性,214,N3
VVN27,ベトナム語,ベトナム語,20.0,男性,188,N4
VVN11,ベトナム語,ベトナム語,21.0,女性,189,N4
VVN43,ベトナム語,ベトナム語,22.0,女性,191,N4
VVN55,ベトナム語,ベトナム語,23.0,未回答,209,N3
VVN30,ベトナム語,ベトナム語,21.0,女性,192,N4
VVN16,ベトナム語,ベトナム語,21.0,女性,193,N4
VVN21,ベトナム語,ベトナム語,21.0,女性,207,N3
VVN23,ベトナム語,ベトナム語,20.0,女性,194,N4
VVN42,ベトナム語,ベトナム語,21.0,女性,194,N4
JJE31,国内教室環境,ベトナム語,22.0,男性,197,N4
VVN18,ベトナム語,ベトナム語,21.0,女性,197,N4
VVN26,ベトナム語,ベトナム語,19.0,女性,202,N3
JJE21,国内教室環境,ベトナム語,21.0,男性,201,N3
JJN32,国内自然習得,ヒンディー語,20.0,男性,113,N5
JJN43,国内自然習得,クメール語,36.0,男性,127,N5
JJN01,国内自然習得,ポルトガル語,26.0,男性,275,N2
JJN10,国内自然習得,ポルトガル語,52.0,女性,137,N5
JJN17,国内自然習得,ポルトガル語,42.0,女性,265,N2
JJN13,国内自然習得,ポルトガル語,44.0,女性,251,N2
JJN15,国内自然習得,ポルトガル語,54.0,女性,245,N3
JJN12,国内自然習得,ポルトガル語,47.0,女性,240,N3
JJN16,国内自然習得,ポルトガル語,45.0,女性,233,N3
JJN09,国内自然習得,ポルトガル語,40.0,女性,227,N3
JJN07,国内自然習得,ポルトガル語,45.0,女性,178,N4
JJN14,国内自然習得,ポルトガル語,48.0,女性,184,N4
JJN08,国内自然習得,ポルトガル語,46.0,男性,186,N4
JJN19,国内自然習得,ポルトガル語,45.0,男性,209,N3
JJC39,国内教室環境,ネパール語,22.0,男性,258,N2
JJE32,国内教室環境,モンゴル語,26.0,男性,258,N2
JJC47,国内教室環境,モンゴル語,23.0,男性,246,N3
JJC61,国内教室環境,モンゴル語,19.0,男性,201,N3
JJN21,国内自然習得,フィリピン語,17.0,男性,163,N4
JJE71,国内教室環境,ペルシア語,21.0,女性,165,N4
JJJ01,日本語母語話者,日本語,24.0,男性,999,NS
JJJ02,日本語母語話者,日本語,50.0,女性,999,NS
JJJ03,日本語母語話者,日本語,27.0,男性,999,NS
JJJ04,日本語母語話者,日本語,26.0,男性,999,NS
JJJ05,日本語母語話者,日本語,31.0,男性,999,NS
JJJ06,日本語母語話者,日本語,20.0,女性,999,NS
JJJ07,日本語母語話者,日本語,25.0,女性,999,NS
JJJ08,日本語母語話者,日本語,27.0,女性,999,NS
JJJ09,日本語母語話者,日本語,46.0,女性,999,NS
JJJ10,日本語母語話者,日本語,39.0,女性,999,NS
JJJ11,日本語母語話者,日本語,20.0,女性,999,NS
JJJ12,日本語母語話者,日本語,39.0,男性,999,NS
JJJ13,日本語母語話者,日本語,29.0,男性,999,NS
JJJ14,日本語母語話者,日本語,22.0,女性,999,NS
JJJ15,日本語母語話者,日本語,20.0,女性,999,NS
JJJ16,日本語母語話者,日本語,38.0,女性,999,NS
JJJ17,日本語母語話者,日本語,41.0,女性,999,NS
JJJ18,日本語母語話者,日本語,39.0,女性,999,NS
JJJ19,日本語母語話者,日本語,32.0,女性,999,NS
JJJ20,日本語母語話者,日本語,21.0,女性,999,NS
JJJ21,日本語母語話者,日本語,21.0,女性,999,NS
JJJ23,日本語母語話者,日本語,43.0,女性,999,NS
JJJ24,日本語母語話者,日本語,33.0,男性,999,NS
JJJ25,日本語母語話者,日本語,24.0,男性,999,NS
JJJ26,日本語母語話者,日本語,36.0,男性,999,NS
JJJ27,日本語母語話者,日本語,24.0,男性,999,NS
JJJ28,日本語母語話者,日本語,23.0,男性,999,NS
JJJ29,日本語母語話者,日本語,32.0,女性,999,NS
JJJ30,日本語母語話者,日本語,35.0,女性,999,NS
JJJ31,日本語母語話者,日本語,45.0,女性,999,NS
JJJ32,日本語母語話者,日本語,49.0,女性,999,NS
JJJ33,日本語母語話者,日本語,49.0,女性,999,NS
JJJ35,日本語母語話者,日本語,35.0,男性,999,NS
JJJ36,日本語母語話者,日本語,42.0,男性,999,NS
JJJ37,日本語母語話者,日本語,42.0,男性,999,NS
JJJ39,日本語母語話者,日本語,29.0,女性,999,NS
JJJ43,日本語母語話者,日本語,39.0,女性,999,NS
JJJ44,日本語母語話者,日本語,27.0,男性,999,NS
JJJ45,日本語母語話者,日本語,30.0,男性,999,NS
JJJ46,日本語母語話者,日本語,38.0,女性,999,NS
JJJ47,日本語母語話者,日本語,53.0,女性,999,NS
JJJ48,日本語母語話者,日本語,46.0,男性,999,NS
JJJ49,日本語母語話者,日本語,55.0,男性,999,NS
JJJ50,日本語母語話者,日本語,53.0,男性,999,NS
JJJ51,日本語母語話者,日本語,24.0,男性,999,NS
JJJ52,日本語母語話者,日本語,22.0,女性,999,NS
JJJ54,日本語母語話者,日本語,45.0,男性,999,NS
JJJ55,日本語母語話者,日本語,41.0,男性,999,NS
JJJ56,日本語母語話者,日本語,40.0,男性,999,NS
JJJ57,日本語母語話者,日本語,43.0,女性,999,NS
